rule_id,object,tags,specification,clause,test_number,description,test,message,user_friendly_message
ISO_14289_1-7.20.2,PDXForm,syntax,ISO_14289_1,7.20,2,"The content of Form XObjects shall be incorporated into structure elements according to ISO 32000-1:2008, 14.7.2",isUniqueSemanticParent == true,Form XObject contains MCIDs and is referenced more than once,"A reusable graphic element with structure information appears multiple times in the document. This creates confusion for assistive technologies about how to handle the structural markers, potentially causing screen readers to announce content incorrectly or skip important information when users with disabilities encounter these repeated elements."
ISO_14289_1-7.21.3.1.1,PDType0Font,font,ISO_14289_1,7.21.3.1,1,"For any given composite (Type 0) font within a conforming file, the CIDSystemInfo entry in its CIDFont dictionary and its Encoding dictionary shall have the following relationship: - If the Encoding key in the Type 0 font dictionary is Identity-H or Identity-V, any values of Registry, Ordering, and Supplement may be used in the CIDSystemInfo entry of the CIDFont. - Otherwise, the corresponding Registry and Ordering strings in both CIDSystemInfo dictionaries shall be identical, and the value of the Supplement key in the CIDSystemInfo dictionary of the CIDFont shall be less than or equal to the Supplement key in the CIDSystemInfo dictionary of the CMap","cmapName == ""Identity-H"" || cmapName == ""Identity-V"" || (CIDFontOrdering != null && CIDFontOrdering == CMapOrdering && CIDFontRegistry != null && CIDFontRegistry == CMapRegistry && CIDFontSupplement != null && CMapSupplement != null && CIDFontSupplement <= CMapSupplement)","CIDSystemInfo entries the CIDFont and CMap dictionaries of a Type 0 font are not compatible (CIDSystemInfo Ordering = %1, CMap Ordering = %2, CIDSystemInfo Registry = %3, CMap Registry = %4, CIDSystemInfo Supplement = %5, CMap Supplement = %6)","The font encoding information in this document is inconsistent, which can cause text extraction problems. When assistive technologies try to read the text, they may encounter garbled characters, missing words, or completely unreadable content, making the document inaccessible to users with visual impairments who rely on screen readers."
ISO_14289_1-7.21.3.2.1,PDCIDFont,font,ISO_14289_1,7.21.3.2,1,"ISO 32000-1:2008, 9.7.4, Table 117 requires that all embedded Type 2 CIDFonts in the CIDFont dictionary shall contain a CIDToGIDMap entry that shall be a stream mapping from CIDs to glyph indices or the name Identity, as described in ISO 32000-1:2008, 9.7.4, Table 117","Subtype != ""CIDFontType2"" || CIDToGIDMap != null || containsFontFile == false",A Type 2 CIDFont dictionary has missing or invalid CIDToGIDMap entry,"A font in this document is missing critical mapping information that tells the system which character symbols to display. Without this mapping, text may appear as incorrect characters or boxes when assistive technologies try to extract it, making the content unreadable for users with disabilities who rely on screen readers."
ISO_14289_1-7.21.3.3.1,PDCMap,font,ISO_14289_1,7.21.3.3,1,"All CMaps used within a PDF/UA file, except those listed in ISO 32000-1:2008, 9.7.5.2, Table 118, shall be embedded in that file as described in ISO 32000-1:2008, 9.7.5","CMapName == ""Identity-H"" || CMapName == ""Identity-V"" || CMapName == ""GB-EUC-H"" || CMapName == ""GB-EUC-V"" || CMapName == ""GBpc-EUC-H"" || CMapName == ""GBpc-EUC-V"" || CMapName == ""GBK-EUC-H"" || CMapName == ""GBK-EUC-V"" || CMapName == ""GBKp-EUC-H"" || CMapName == ""GBKp-EUC-V"" || CMapName == ""GBK2K-H"" || CMapName == ""GBK2K-V"" || CMapName == ""UniGB-UCS2-H"" || CMapName == ""UniGB-UCS2-V"" || CMapName == ""UniGB-UTF16-H"" || CMapName == ""UniGB-UTF16-V"" || CMapName == ""B5pc-H"" || CMapName == ""B5pc-V"" || CMapName == ""HKscs-B5-H"" || CMapName == ""HKscs-B5-V"" || CMapName == ""ETen-B5-H"" || CMapName == ""ETen-B5-V"" || CMapName == ""ETenms-B5-H"" || CMapName == ""ETenms-B5-V"" || CMapName == ""CNS-EUC-H"" || CMapName == ""CNS-EUC-V"" || CMapName == ""UniCNS-UCS2-H"" || CMapName == ""UniCNS-UCS2-V"" || CMapName == ""UniCNS-UTF16-H"" || CMapName == ""UniCNS-UTF16-V"" || CMapName == ""83pv-RKSJ-H"" || CMapName == ""90ms-RKSJ-H"" || CMapName == ""90ms-RKSJ-V"" || CMapName == ""90msp-RKSJ-H"" || CMapName == ""90msp-RKSJ-V"" || CMapName == ""90pv-RKSJ-H"" || CMapName == ""Add-RKSJ-H"" || CMapName == ""Add-RKSJ-V"" || CMapName == ""EUC-H"" || CMapName == ""EUC-V"" || CMapName == ""Ext-RKSJ-H"" || CMapName == ""Ext-RKSJ-V"" || CMapName == ""H"" || CMapName == ""V"" || CMapName == ""UniJIS-UCS2-H"" || CMapName == ""UniJIS-UCS2-V"" || CMapName == ""UniJIS-UCS2-HW-H"" || CMapName == ""UniJIS-UCS2-HW-V"" || CMapName == ""UniJIS-UTF16-H"" || CMapName == ""UniJIS-UTF16-V"" || CMapName == ""KSC-EUC-H"" || CMapName == ""KSC-EUC-V"" || CMapName == ""KSCms-UHC-H"" || CMapName == ""KSCms-UHC-V"" || CMapName == ""KSCms-UHC-HW-H"" || CMapName == ""KSCms-UHC-HW-V"" || CMapName == ""KSCpc-EUC-H"" || CMapName == ""UniKS-UCS2-H"" || CMapName == ""UniKS-UCS2-V"" || CMapName == ""UniKS-UTF16-H"" || CMapName == ""UniKS-UTF16-V"" || containsEmbeddedFile == true",A non-standard CMap %1 is not embedded,"This document uses a custom character mapping table that isn't included in the file. Without the embedded mapping, assistive technologies won't know how to correctly interpret the text characters, potentially causing garbled or missing text when screen readers try to read the content to users with visual impairments."
ISO_14289_1-7.21.3.3.2,CMapFile,font,ISO_14289_1,7.21.3.3,2,"For those CMaps that are embedded, the integer value of the WMode entry in the CMap dictionary shall be identical to the WMode value in the embedded CMap stream",WMode == dictWMode,WMode entry (value %1) in the embedded CMap and in the CMap dictionary (value %2) are not identical,"The text direction setting (horizontal or vertical) is inconsistent between the font's mapping information and its embedded data. This mismatch can cause assistive technologies to read text in the wrong direction or order, making the content confusing or completely unintelligible for users with disabilities."
ISO_14289_1-7.21.3.3.3,PDReferencedCMap,font,ISO_14289_1,7.21.3.3,3,"A CMap shall not reference any other CMap except those listed in ISO 32000-1:2008, 9.7.5.2, Table 118","CMapName == ""Identity-H"" || CMapName == ""Identity-V"" || CMapName == ""GB-EUC-H"" || CMapName == ""GB-EUC-V"" || CMapName == ""GBpc-EUC-H"" || CMapName == ""GBpc-EUC-V"" || CMapName == ""GBK-EUC-H"" || CMapName == ""GBK-EUC-V"" || CMapName == ""GBKp-EUC-H"" || CMapName == ""GBKp-EUC-V"" || CMapName == ""GBK2K-H"" || CMapName == ""GBK2K-V"" || CMapName == ""UniGB-UCS2-H"" || CMapName == ""UniGB-UCS2-V"" || CMapName == ""UniGB-UTF16-H"" || CMapName == ""UniGB-UTF16-V"" || CMapName == ""B5pc-H"" || CMapName == ""B5pc-V"" || CMapName == ""HKscs-B5-H"" || CMapName == ""HKscs-B5-V"" || CMapName == ""ETen-B5-H"" || CMapName == ""ETen-B5-V"" || CMapName == ""ETenms-B5-H"" || CMapName == ""ETenms-B5-V"" || CMapName == ""CNS-EUC-H"" || CMapName == ""CNS-EUC-V"" || CMapName == ""UniCNS-UCS2-H"" || CMapName == ""UniCNS-UCS2-V"" || CMapName == ""UniCNS-UTF16-H"" || CMapName == ""UniCNS-UTF16-V"" || CMapName == ""83pv-RKSJ-H"" || CMapName == ""90ms-RKSJ-H"" || CMapName == ""90ms-RKSJ-V"" || CMapName == ""90msp-RKSJ-H"" || CMapName == ""90msp-RKSJ-V"" || CMapName == ""90pv-RKSJ-H"" || CMapName == ""Add-RKSJ-H"" || CMapName == ""Add-RKSJ-V"" || CMapName == ""EUC-H"" || CMapName == ""EUC-V"" || CMapName == ""Ext-RKSJ-H"" || CMapName == ""Ext-RKSJ-V"" || CMapName == ""H"" || CMapName == ""V"" || CMapName == ""UniJIS-UCS2-H"" || CMapName == ""UniJIS-UCS2-V"" || CMapName == ""UniJIS-UCS2-HW-H"" || CMapName == ""UniJIS-UCS2-HW-V"" || CMapName == ""UniJIS-UTF16-H"" || CMapName == ""UniJIS-UTF16-V"" || CMapName == ""KSC-EUC-H"" || CMapName == ""KSC-EUC-V"" || CMapName == ""KSCms-UHC-H"" || CMapName == ""KSCms-UHC-V"" || CMapName == ""KSCms-UHC-HW-H"" || CMapName == ""KSCms-UHC-HW-V"" || CMapName == ""KSCpc-EUC-H"" || CMapName == ""UniKS-UCS2-H"" || CMapName == ""UniKS-UCS2-V"" || CMapName == ""UniKS-UTF16-H"" || CMapName == ""UniKS-UTF16-V""",A CMap references another non-standard CMap %1,"A character mapping table in this document references another custom mapping that may not be available. This chain of dependencies can prevent assistive technologies from properly understanding the text characters, potentially making the content unreadable for users with visual impairments who rely on screen readers."
ISO_14289_1-7.21.4.1.1,PDFont,font,ISO_14289_1,7.21.4.1,1,"The font programs for all fonts used for rendering within a conforming file shall be embedded within that file, as defined in ISO 32000-1:2008, 9.9","Subtype == ""Type3"" || Subtype == ""Type0"" || renderingMode == 3 || containsFontFile == true",The font program is not embedded,"The actual font files used in this document aren't included in the PDF. Without embedded fonts, assistive technologies may substitute different fonts that don't have the correct character information, causing text extraction errors that make the content garbled or unreadable for users with visual impairments."
ISO_14289_1-7.21.4.1.2,Glyph,font,ISO_14289_1,7.21.4.1,2,"Embedded fonts shall define all glyphs referenced for rendering within the conforming file. A font referenced solely in text rendering mode 3 is not rendered and is thus exempt from the requirements that impact the visual representation of the glyphs of a font. In all cases for TrueType fonts that are to be rendered, character codes shall be able to be mapped to glyphs according to ISO 32000-1:2008, 9.6.6.4 without the use of a non-standard mapping chosen by the conforming processor",renderingMode == 3 || isGlyphPresent == null || isGlyphPresent == true,Not all glyphs referenced for rendering are present in the embedded font program,"Some characters used in this document are missing from the embedded font. When assistive technologies try to extract text, these missing characters will appear as blanks or incorrect symbols, making portions of the content unreadable or meaningless for users with visual impairments who rely on screen readers."
ISO_14289_1-7.21.4.2.1,PDType1Font,font,ISO_14289_1,7.21.4.2,1,"If the FontDescriptor dictionary of an embedded Type 1 font contains a CharSet string, then it shall list the character names of all glyphs present in the font program, regardless of whether a glyph in the font is referenced or used by the PDF or not",containsFontFile == false || fontName.search(/[A-Z]{6}\+/) != 0 || CharSet == null || charSetListsAllGlyphs == true,A CharSet entry in the Descriptor dictionary of a Type1 font incorrectly lists glyphs present in the font program,"The character list for a font in this document is incomplete or incorrect. This mismatch between the font's character inventory and its actual contents can prevent assistive technologies from properly extracting text, causing missing or garbled characters when screen readers try to read the content to users with visual impairments."
ISO_14289_1-7.21.4.2.2,PDCIDFont,font,ISO_14289_1,7.21.4.2,2,"If the FontDescriptor dictionary of an embedded CID font contains a CIDSet stream, then it shall identify all CIDs which are present in the font program, regardless of whether a CID in the font is referenced or used by the PDF or not",containsFontFile == false || fontName.search(/[A-Z]{6}\+/) != 0 || containsCIDSet == false || cidSetListsAllGlyphs == true,A CIDSet entry in the Font descriptor does not correctly identify all glyphs present in the embedded font subset,"The character identification list for a font subset in this document doesn't accurately reflect which characters are actually included. This discrepancy can confuse assistive technologies about which characters are available, potentially causing text extraction errors that make content unreadable for users with visual impairments."
ISO_14289_1-7.21.5.1,Glyph,font,ISO_14289_1,7.21.5,1,"For every font embedded in a conforming file and used for rendering, the glyph width information in the font dictionary and in the embedded font program shall be consistent",renderingMode == 3 || widthFromFontProgram == null || widthFromDictionary == null || Math.abs(widthFromFontProgram - widthFromDictionary) <= 1,Glyph width %1 in the embedded font program is not consistent with the Widths entry of the font dictionary (value %2),"The character width information is inconsistent between the font's dictionary and the actual embedded font. This mismatch can cause assistive technologies to incorrectly extract text—words may run together, spacing may disappear, or character order may be scrambled—making the content difficult or impossible to read for users with visual impairments."
ISO_14289_1-7.21.6.1,TrueTypeFontProgram,font,ISO_14289_1,7.21.6,1,"For all non-symbolic TrueType fonts used for rendering, the embedded TrueType font program shall contain one or several non-symbolic cmap entries such that all necessary glyph lookups can be carried out",isSymbolic == true || (cmap30Present == true ? nrCmaps > 1 : nrCmaps > 0),The embedded font program for a non-symbolic TrueType font does not contain non-symbolic cmap entries,"A TrueType font in this document is missing the character mapping tables needed to identify text characters. Without these mappings, assistive technologies can't translate the visual glyphs into readable text, making the content completely inaccessible to users with visual impairments who rely on screen readers."
ISO_14289_1-7.21.6.2,PDTrueTypeFont,font,ISO_14289_1,7.21.6,2,"All non-symbolic TrueType fonts shall have either MacRomanEncoding or WinAnsiEncoding as the value for the Encoding key in the Font dictionary or as the value for the BaseEncoding key in the dictionary which is the value of the Encoding key in the Font dictionary. In addition, no non-symbolic TrueType font shall define a Differences array unless all of the glyph names in the Differences array are listed in the Adobe Glyph List and the embedded font program contains at least the Microsoft Unicode (3,1 – Platform ID=3, Encoding ID=1) encoding in the 'cmap' table","isSymbolic == true || ((Encoding == ""MacRomanEncoding"" || Encoding == ""WinAnsiEncoding"") && (containsDifferences == false || differencesAreUnicodeCompliant == true))","A non-symbolic TrueType font encoding does not define a correct mapping to the Adobe Glyph List (Encoding = %1, Encoding entry contains a Differences = %2, Differences are Unicode compliant = %3)","A font's character encoding doesn't properly map to standard character definitions. This incorrect mapping prevents assistive technologies from accurately converting the visual text into readable characters, potentially causing garbled text or complete reading failures for users with visual impairments who rely on screen readers."
ISO_14289_1-7.21.6.3,PDTrueTypeFont,font,ISO_14289_1,7.21.6,3,Symbolic TrueType fonts shall not contain an Encoding entry in the font dictionary,isSymbolic == false || Encoding == null,A symbolic TrueType font specifies an Encoding entry in its dictionary,"A symbolic font (used for special characters or icons) incorrectly includes character encoding information. This unnecessary encoding can confuse assistive technologies about how to interpret the symbols, potentially causing them to announce meaningless text instead of properly handling the symbolic content for users with disabilities."
ISO_14289_1-7.21.6.4,TrueTypeFontProgram,font,ISO_14289_1,7.21.6,4,"The 'cmap' table in the embedded font program for a symbolic TrueType font shall contain either exactly one encoding or it shall contain, at least, the Microsoft Symbol (3,0 - Platform ID=3, Encoding ID=0) encoding",isSymbolic == false || nrCmaps == 1 || cmap30Present == true,"The embedded font program for a symbolic TrueType font contains %1 cmap subtables and does not contain Microsoft Symbol (3,0 – Platform ID=3, Encoding ID=0)","A symbolic font's character mapping table has the wrong structure for special characters. Without the correct symbol encoding, assistive technologies can't properly interpret these special characters or symbols, potentially announcing them incorrectly or skipping them entirely for users with visual impairments."
ISO_14289_1-7.21.7.1,Glyph,font,ISO_14289_1,7.21.7,1,"The Font dictionary of all fonts shall define the map of all used character codes to Unicode values, either via a ToUnicode entry, or other mechanisms as defined in ISO 14289-1, 7.21.7",toUnicode != null,The glyph can not be mapped to Unicode,"A character in this document cannot be converted to standard Unicode text. Without Unicode mapping, assistive technologies have no way to identify what this character is, causing it to be skipped or replaced with a placeholder when screen readers try to read the content to users with visual impairments."
ISO_14289_1-7.21.7.2,Glyph,font,ISO_14289_1,7.21.7,2,"The Unicode values specified in the ToUnicode CMap shall all be greater than zero (0), but not equal to either U+FEFF or U+FFFE","toUnicode == null || (toUnicode.indexOf(""\u0000"") == -1 && toUnicode.indexOf(""\uFFFE"") == -1 && toUnicode.indexOf(""\uFEFF"") == -1)","The glyph has Unicode value 0, U+FEFF or U+FFFE, which is invalid by Unicode standard","A character has been assigned an invalid Unicode value that's either zero or a reserved code. These invalid values cause assistive technologies to skip or mishandle the character, potentially creating gaps or errors in the text that make content incomplete or confusing for users with visual impairments."
ISO_14289_1-7.21.8.1,Glyph,font,ISO_14289_1,7.21.8,1,"A PDF/UA compliant document shall not contain a reference to the .notdef glyph from any of the text showing operators, regardless of text rendering mode, in any content stream","name != "".notdef""",The document contains a reference to the .notdef glyph,"This document references a "".notdef"" character, which is a placeholder for missing or undefined glyphs. When assistive technologies encounter this placeholder, they can't provide meaningful text to users with visual impairments, resulting in gaps or unintelligible content where actual characters should appear."
